"[51.22819156  2.86000402  1.04263603 13.50661099  1.25749356  1.18808417
  1.04734688]","[51.38596522233335, 2.2437195917367108, 0.18826586500095013, 12.52000985126127, 0.22393924850729066, 0.7711559578231807, 0.05323900471675402]"
"[67.10700296  3.2693154   0.78761263 17.00971881  1.14634497  1.63290586
  1.12725771]","[67.62209744033402, 2.641843632439278, -0.12632045418891044, 15.962912926094857, 0.22155806580006687, -0.45726596971815875, -0.04616811852223769]"
"[45.36010479  5.85733392  0.80227557 18.85818609  1.55505053  0.77335865
  1.33965868]","[45.9126492516139, 5.934816136851033, -0.14536102280344226, 17.716335357887555, 0.426578856582322, -0.7543815439015795, 0.004011603687827929]"
"[75.20985704  1.95041274  0.73394044 14.71940927  1.14073538  1.2979297
  1.19518971]","[75.1438430709466, 1.5927081352803547, 0.05155489350602101, 13.72733976097595, 0.3866314181624392, 0.2532631488057133, 0.025287918840413485]"
"[77.86211573  6.04764256  1.17072115 16.50223465  1.37142222  1.09772739
  1.25102468]","[78.65103544289516, 5.596233704330848, 0.0613711961559615, 15.700237201467475, 0.217916678481531, 0.3087225075703106, 0.02846389481664041]"
"[34.20930007  1.43175492  1.0650679  14.60720963  0.42355953  0.62980483
  1.17514722]","[34.48247845233024, 0.04499495434223755, 0.009593517090768543, 13.920817296136269, -0.19866469833476808, -0.09303103278857121, 0.019433227464962805]"
"[78.51952662  2.50824779  1.18394407 18.60875017  0.98617593  1.36851715
  0.91230424]","[78.98337712407363, 1.7060862490140491, -0.06992532818471832, 18.098275818394058, 0.19261389408374538, -0.24629925884622783, -0.0174789267132037]"
"[75.70694588  4.94081336  1.06464057 21.93967234  1.51092566  1.11962204
  0.90039621]","[76.83059203558946, 4.964457851859143, 0.003907269795808315, 21.016513912734787, 0.46027176142634807, -0.045143438345569734, -0.010420490503637473]"
"[44.83382596  3.00855729  0.73932357 13.66445865  0.98574443  1.45569911
  0.6866652 ]","[45.21161612946748, 1.1883695785778827, 0.012515868229250729, 12.532781592287273, -0.2928915813638849, 0.10828089479170278, -0.014234918828108307]"
"[49.0494749   2.79848711  1.22419138 21.25158146  0.47379938  0.58919445
  0.99075236]","[49.96826348753297, 1.0885664664758474, 0.14064892708922316, 20.161132103616946, -0.36255090933935546, 0.4339694141821238, 0.008393670115732915]"
"[58.71073089  1.58087072  1.66286818 19.87449877  0.81931172  0.63216471
  1.04479659]","[59.46851047978922, 0.34618876061721904, 0.1853793205967481, 18.820794481928814, -0.17023053926299406, 0.6917563843334806, 0.05688839726830543]"
"[40.67945243  3.3505016   0.9417466  15.75020586  0.85847623  1.16813468
  1.17157401]","[41.03598908102159, 1.8326574339849824, -0.008557896770487168, 14.864326319208578, -0.2750497090779464, 0.0291372798814576, 0.010284256079535484]"
"[43.98926064  4.85018587  1.16682172 20.92616193  0.85289475  1.32287435
  0.996187  ]","[45.106626323735895, 3.633842746676245, 0.13529838373738204, 19.87515654631098, -0.21841056330868241, 0.8651367292117247, -0.004992652369466526]"
"[27.68099643  3.59659581  1.07662212 18.54847579  0.36108536  0.59896237
  0.77264488]","[28.463333033590935, 1.743436492834622, 0.07354439060060398, 17.820175847971715, -0.36671868228841104, 0.1492117151562785, 0.012880003888473934]"
"[24.81805493  7.08616224  0.86473939 16.04569551  0.80720459  0.96408117
  0.47786944]","[25.229535436433707, 5.3827988699416345, -0.08781512264180755, 15.347252906511335, -0.2780160934854185, -0.44844915879212716, -0.033789465689428234]"
"[50.53312104  5.83066783  1.04564741 15.3100338   0.62239831  1.02834049
  0.89537863]","[50.79873793422383, 4.430126407915238, 0.15005181596220038, 14.208031389442445, -0.35960330490793635, 0.6198157660130893, 0.056480702178874576]"
"[75.84467727  2.98320925  0.85160418 14.17738727  0.46981305  1.55444156
  1.16230391]","[76.00391621072559, 1.638571294067807, 0.10567441203128812, 13.451303374703677, -0.25685121859267346, 0.5222697883984628, 0.006492972924064262]"
