init,next
[1.48068611 1.72934795],[1.77872483 1.99935508]
[1.97340953 0.93882423],[1.89676183 1.60409322]
[2.40997158 0.88336331],[2.06584056 1.57636276]
[1.38863031 2.44581812],[1.81354953 2.35759016]
[0.69054023 1.18833612],[1.40856529 1.72884916]
[2.4269637  1.04847244],[2.08914832 1.65891733]
[1.06098976 0.07465781],[1.44537728 1.17201001]
[2.8449429  1.23376321],[2.27486907 1.75156271]
[1.59033796 1.24097769],[1.77374854 1.75516995]
[0.47214665 0.96205873],[1.29858012 1.61571047]
[0.50245528 2.49083262],[1.46358097 2.38009741]
[0.85142044 2.93346904],[1.64743067 2.60141562]
[1.25063021 1.18707721],[1.6324754  1.72821971]
[0.72221833 0.87689646],[1.39009257 1.57312934]
[2.13371248 2.33337301],[2.10033788 2.30136761]
[0.5014104  0.86383076],[1.30046283 1.56659649]
[1.676817   0.90127472],[1.77436986 1.58531846]
[0.64347556 0.60221313],[1.33112713 1.43578767]
[0.30072761 0.712395  ],[1.20504614 1.49087861]
[1.49088691 1.46950687],[1.75682104 1.86943454]
[2.30047803 0.44294189],[1.97800099 1.35615205]
[1.28185718 0.01996631],[1.52825509 1.14466426]
[1.66695631 2.99415008],[1.97971312 2.63175614]
[1.32267494 1.68754691],[1.71134026 1.97845456]
[0.72532205 0.88785352],[1.39242976 1.57860786]
[2.83418862 2.56422581],[2.40361362 2.41679401]
[1.41528631 2.84073624],[1.86370374 2.55504922]
[2.59163093 2.03656056],[2.25382402 2.15296139]
[1.31096761 0.43868237],[1.58177087 1.35402229]
[0.46805461 2.65065611],[1.46580305 2.46000916]
[1.93249232 0.8544239 ],[1.87195491 1.56189305]
[1.56317318 0.19045911],[1.65783077 1.22991066]
[2.49453496 0.49427552],[2.06075713 1.38181887]
[2.91854193 2.36754763],[2.41768713 2.31845492]
[2.57069295 2.4508382 ],[2.28687659 2.36010021]
[1.9412457  1.15634447],[1.90564832 1.71285334]
[2.98525829 0.39140975],[2.24675988 1.33038598]
[2.92859308 2.85735023],[2.47068785 2.56335622]
[2.84939598 0.4740159 ],[2.20067557 1.37168905]
[1.7991744  1.94085504],[1.92727085 2.10510863]
[0.66156455 0.0016824 ],[1.27830965 1.13552231]
[1.27687685 2.37612371],[1.7618787  2.32274296]
[2.05086836 0.07333789],[1.84119672 1.17135005]
[0.9734997  0.12003708],[1.41491918 1.19469964]
[2.00304889 1.88423193],[2.00315834 2.07679707]
[0.64828275 0.46985822],[1.31981451 1.36961021]
[0.32061789 2.87643874],[1.42940662 2.57290048]
[1.49400927 1.14638213],[1.72575751 1.70787217]
[2.2719027  0.72874956],[1.99515163 1.49905589]
[0.37547784 2.00800454],[1.36450718 2.13868337]
[0.68775199 1.49930693],[1.43854708 1.88433457]
[2.09893146 2.91432254],[2.14452043 2.59184238]
[0.6316225  2.56368545],[1.52253314 2.41652383]
[0.13006808 1.91063175],[1.256606   2.08999698]
[2.84282638 1.86177876],[2.33682402 2.06557049]
[2.62805555 1.51555469],[2.21629328 1.89245845]
[2.46339757 2.25999855],[2.22487447 2.26468038]
[0.03585298 2.55467728],[1.28332451 2.41201975]
[2.294811   0.28624237],[1.96006423 1.27780229]
[1.19267484 2.67405276],[1.7579908  2.47170749]
[2.27133837 1.43832296],[2.06588324 1.85384259]
[2.78420906 0.62514385],[2.1897136  1.44725303]
[1.10069533 1.13437629],[1.56723135 1.70186925]
[2.94544836 1.28578355],[2.32027329 1.77757288]
[0.99967595 0.9528614 ],[1.50867211 1.61111181]
[0.21833374 1.76578949],[1.27742804 2.01757585]
[1.73379233 1.75818819],[1.88285134 2.0137752 ]
[1.45736032 2.78358624],[1.87481834 2.52647423]
[0.30574836 2.97042501],[1.43285744 2.61989361]
[2.77578871 0.64731187],[2.18856226 1.45833704]
[2.98926613 2.09829584],[2.41905163 2.18382903]
[0.33861514 1.23128281],[1.27208993 1.75032251]
[0.93396558 1.46398149],[1.53349997 1.86667185]
[0.73072661 0.84821078],[1.39062731 1.55878649]
[2.66694298 2.74626352],[2.35491914 2.50781287]
[1.83062902 2.46398778],[1.99216598 2.366675  ]
[2.56810224 1.24563942],[2.16532043 1.75750082]
[1.31676622 1.32685943],[1.67290802 1.79811082]
[1.72036556 1.98313351],[1.89997517 2.12624786]
[2.92372286 2.67121525],[2.45012626 2.47028873]
[2.72343764 0.74845839],[2.17773649 1.5089103 ]
[2.50650656 1.17770031],[2.13388825 1.72353126]
[1.93097704 1.69255802],[1.95516221 1.98096012]
[1.26565421 1.53644605],[1.67342188 1.90290413]
[1.52171398 1.27347712],[1.7495489  1.77141967]
[2.74272723 0.67286506],[2.17789299 1.47111364]
[2.78547816 1.12539203],[2.24024606 1.69737712]
[0.71824778 2.50812793],[1.55162749 2.38874507]
[1.52630598 1.49030682],[1.77306866 1.87983451]
[2.03096505 0.08154466],[1.83405608 1.17545344]
[0.29107368 1.38710163],[1.26865523 1.82823192]
[0.75230369 2.27680335],[1.5421174  2.27308278]
[1.57120763 0.17733097],[1.65973174 1.22334659]
[1.47498535 2.49945689],[1.85345542 2.38440955]
[0.98426454 0.75524633],[1.48274604 1.51230427]
[2.24174826 1.42357251],[2.05257215 1.84646736]
[0.6944119  0.29978263],[1.32125861 1.28457242]
[1.29264705 0.12227035],[1.54280145 1.19581628]
[1.24606974 0.74498752],[1.58644224 1.50717487]
[0.97845063 1.73112723],[1.57800856 2.00024472]
