init,next
"[29.03826179  3.88696108  0.93189377 14.69331688  0.40503613  0.30920791
  1.21971565]","[29.39883246  5.29926956  0.93189377 14.69331688  0.67396741  4.15831753
  0.51390265]"
"[54.95302721  2.02727464  0.85127559 19.40564531  1.00521496  1.89308441
  1.26134618]","[54.15877936  3.78345628  0.85127559 19.40564531  1.37348901  4.9217919
  0.49249414]"
"[ 8.08699657  1.67134396  0.83478328 17.83689669  0.59947075  0.78829184
  1.18719324]","[ 8.18880557  3.43978637  0.83478328 17.83689669  0.8877452   4.28679625
  0.4915645 ]"
"[84.89488312  3.45786336  0.84952332 18.45729785  0.84550258  0.35813699
  1.33523856]","[84.38829002  5.21227264  0.84952332 18.45729785  1.11621425  4.30266392
  0.55778948]"
"[27.55769618  5.47663666  0.87258155 21.96307525  0.88351588  0.64035527
  1.33186086]","[26.78348292  7.51278148  0.87258155 21.96307525  1.19430586  4.88933198
  0.58149333]"
"[59.74370969  6.95366299  1.02572987 21.52553772  0.88660876  0.56445393
  1.26588814]","[58.99985902  8.96213015  1.02572987 21.52553772  1.2379175   5.62686773
  0.57582554]"
"[4.16825776e+01 5.01951177e+00 1.16801430e+00 2.15920265e+01
 3.65004607e-02 5.37780740e-01 1.34907533e+00]","[42.5400596   6.98985117  1.1680143  21.59202645  0.4301923   6.37824937
  0.62610724]"
"[20.44438085  4.42985481  1.17451329 21.91695031  0.06050943  1.19705276
  1.22253714]","[21.40779374  6.39254838  1.17451329 21.91695031  0.49988688  6.7003238
  0.55594681]"
"[51.71332675  4.37292875  0.82877634 14.53607391  0.96077811  1.34809983
  1.29289705]","[51.25517458  5.73632613  0.82877634 14.53607391  1.25486538  3.91784081
  0.47917874]"
"[14.08308114  5.8248096   1.08058575 17.08866416  0.85221354  0.48568994
  1.29613508]","[13.56371541  7.4415438   1.08058575 17.08866416  1.18929754  5.27225752
  0.57666909]"
"[17.09885594  5.61517723  0.91191644 16.00783942  0.54403291  0.58110856
  1.34928972]","[17.13972818  7.19803098  0.91191644 16.00783942  0.83125565  4.34078954
  0.54458688]"
"[48.70124666  4.1975609   1.09938109 21.1347227   0.44234082  0.50066592
  1.28922805]","[48.83108083  6.29710155  1.09938109 21.1347227   0.81026934  5.94464888
  0.59464704]"
"[7.50344556e+01 3.41161278e+00 8.86814105e-01 1.55789891e+01
 2.64331541e-02 7.05902148e-01 1.22653905e+00]","[75.9342566   4.66780313  0.88681411 15.57898907  0.31045468  4.19322086
  0.50079783]"
"[41.26790102  2.94510862  0.8472636  19.00757881  0.84157535  0.77802061
  1.17164775]","[40.91087142  4.80038796  0.8472636  19.00757881  1.13932336  4.48826072
  0.49656855]"
"[64.94616996  2.23901592  1.13002934 13.20168344  0.6873809   0.91879398
  1.24483538]","[64.82365004  3.54664272  1.13002934 13.20168344  1.0263229   4.83519049
  0.5548397 ]"
"[13.01479979  5.00637046  0.95977941 20.59982672  0.2342253   1.38081419
  1.19090121]","[13.73462174  6.92748078  0.95977941 20.59982672  0.61139424  5.4619505
  0.50732428]"
"[71.20676352  6.59905475  1.0890014  13.29055017  0.65107094  1.02626026
  1.35752506]","[71.07193746  7.9099099   1.0890014  13.29055017  0.9856379   4.70736806
  0.56330314]"
"[20.9621278   3.63434503  0.8861949  16.21677868  0.45719466  0.79041651
  1.20394632]","[21.27345293  5.21428937  0.8861949  16.21677868  0.75016547  4.3082017
  0.49657193]"
"[38.19563333  3.2360578   1.0973419  17.26775298  0.62944838  1.08800804
  1.19195788]","[38.1236355   4.95528599  1.0973419  17.26775298  1.00697424  5.55344643
  0.53358755]"
"[6.99595503e+01 6.00834004e+00 1.09972137e+00 2.04867773e+01
 2.68511390e-02 1.19026219e+00 1.26108984e+00]","[70.92433425  7.80657054  1.09972137 20.4867773   0.43402034  6.10480034
  0.55835518]"
"[21.92539505  1.91152147  0.99547126 13.91841429  0.71307496  1.38081598
  1.30059489]","[21.75835639  3.28253357  0.99547126 13.91841429  1.04760568  4.52476568
  0.52067333]"
"[73.10506942  6.614594    1.18037551 21.92970375  0.19695746  1.15556821
  1.28226479]","[73.71105357  8.71496484  1.18037551 21.92970375  0.63557511  6.71790039
  0.58066579]"
"[46.33126593  1.87502719  1.03997927 21.8758806   0.82808117  1.34047076
  1.3165444 ]","[45.60115347  3.92544079  1.03997927 21.8758806   1.23472679  6.03255287
  0.56942124]"
"[51.01160355  4.86169995  1.08336194 13.75031976  0.76180992  1.39217327
  1.20489333]","[50.81211449  6.21625843  1.08336194 13.75031976  1.11835364  4.86277604
  0.524044  ]"
"[37.12893949  3.57897655  0.94673872 20.50798075  0.80598555  1.90106244
  1.22253506]","[36.65433362  5.56474999  0.94673872 20.50798075  1.21081796  5.56418472
  0.49809299]"
"[49.83726046  3.41306229  1.17792876 17.48773205  0.08740142  0.39636926
  1.25960742]","[50.58904544  4.98378996  1.17792876 17.48773205  0.45015881  5.77796093
  0.58983615]"
"[46.54928268  3.23554178  1.04615818 14.17404707  0.71412081  1.09933859
  1.36022809]","[46.31404473  4.62067072  1.04615818 14.17404707  1.05039991  4.7344738
  0.55459799]"
"[62.67134646  2.19787342  0.92876395 16.18481675  0.36807742  0.83761528
  1.35496497]","[62.97144195  3.77149316  0.92876395 16.18481675  0.67540125  4.51257575
  0.54467623]"
"[10.29049463  2.35713212  0.85240586 14.13076788  0.60595465  1.85896144
  1.19433836]","[10.39428385  3.75651791  0.85240586 14.13076788  0.9289451   4.05971634
  0.44962613]"
